model,classifier,nn_number,epochs,batch-size,learning-rate,optimizer,normalize-features,tense,voice,pronouns,named-entities,sentiment,pos-tags,dep-tags,sentences,domain,sentence-similarity,precision,recall,f1,accuracy
traditional,knn,-,-,-,-,-,-,+,-,-,-,+,-,-,-,+,-,0.6189095127610209,0.4268,0.5052083333333334,0.582
traditional,knn,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,0.6206709956709957,0.4588,0.5275988960441582,0.5892
traditional,knn,-,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,0.7533252720677146,0.4984,0.5999037072701011,0.6676
traditional,knn,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,0.6982693754702785,0.3712,0.4847218594933403,0.6054
traditional,knn,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,0.5688539741219963,0.4924,0.5278730703259005,0.5596
traditional,knn,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0.5336174242424242,0.4508,0.48872506504770163,0.5284
traditional,knn,-,-,-,-,-,-,-,+,+,+,+,+,-,-,+,-,0.7224489795918367,0.354,0.4751677852348994,0.609
traditional,knn,-,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,0.6251354279523293,0.2308,0.33713117148699967,0.5462
traditional,knn,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,0.632183908045977,0.462,0.533857175872429,0.5966
traditional,knn,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,0.628696604600219,0.4592,0.5307443365695793,0.594
traditional,knn,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,-,0.7101002313030069,0.3684,0.48511983144587834,0.609
traditional,knn,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,0.6142857142857143,0.2408,0.34597701149425286,0.5448
traditional,knn,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,0.5849056603773585,0.7192,0.6451381413706494,0.6044
traditional,knn,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0.5919885550786839,0.8276,0.6902418682235195,0.6286
traditional,knn,-,-,-,-,-,-,-,+,+,-,+,+,-,-,+,-,0.7225,0.3468,0.46864864864864864,0.6068
traditional,knn,-,-,-,-,-,-,-,+,+,-,+,+,-,-,-,-,0.6252796420581656,0.2236,0.3294048320565704,0.5448
traditional,knn,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,0.6082654249126892,0.418,0.4954954954954955,0.5744
traditional,knn,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0.604378003203417,0.4528,0.5177223873770866,0.5782
